ID,Company_name,year,cgpa_criteria,branch_criteria,ce,entc,it,Male,Female,Total,sal_lpa
238,Goldman Sachs,2020 -21,PPO,All (UG and PG),3,0,0,1,2,3,23
239,Goldman Sachs,2022-23,PPO,All (UG),1,0,1,1,1,2,24
240,Goldman Sachs,2019-20,7.5,All(UG),3,0,2,3,2,5,23
241,Growisto,2020 -21,NC,All (UG),0,0,0,0,0,0,6.5
242,Groww,2019-20,NC,All (UG),2,0,0,2,0,2,20
243,HashedIn,2021 -22,6,All (UG),0,4,0,4,0,4,8
244,HCL Technologies,2020 -21,8.52,All (UG),0,0,0,0,0,0,3.5
245,HDFC Bank,2019-20,6.82,CE & I T (UG),4,0,3,4,3,7,9.5
246,HDFC Bank,2022-23,NC,All (UG),2,1,2,5,0,5,12.42
247,HDFC Bank,2021 -22,5.68,All (UG),7,13,4,16,8,24,9.5
248,Helpshift,2021 -22,6,All (UG and PG),0,2,0,1,1,2,8.5
249,Helpshift Technologies,2020 -21,NC,All (UG),4,1,0,3,2,5,8
250,Hexaview Technologies,2020 -21,NC,CE & IT (UG),0,0,0,0,0,0,9
251,Hexaware,2023-24,6.82,ALl UG,2,1,1,4,0,4,6
252,Hexaware Technologies,2020 -21,6.82,All (UG),2,1,0,2,1,3,5
253,Hitachi Vantara,2020 -21,7.95,CE & IT (UG and PG),0,0,0,0,0,0,6.5
254,Honeywell,2019-20,6.82,CE & IT (UG),5,0,0,3,2,5,5.5
255,Honeywell,2021 -22,6.82,All (UG),1,1,1,1,2,3,5.5
256,HSBC,2020 -21,6.82,All (UG),15,9,9,26,7,33,7
257,HSBC,2023-24,6,All UG,13,7,10,26,6,30,9
258,HSBC,2019-20,6.82,All(UG),15,8,14,23,14,37,7
259,HSBC,2021 -22,6,All (UG),0,14,0,7,7,14,9
260,HSBC,2022-23,NC,All (UG),5,6,4,9,6,15,9
261,i3Systems,2021 -22,NC,All (UG),0,1,1,1,1,2,4.5
262,IBM,2019-20,6.82,All(UG),0,3,0,0,3,3,4.1
263,Icertis,2020 -21,7.38,CE & IT (UG),5,0,1,2,4,6,8
264,Icertis,2019-20,6.82,CE & IT (UG),6,0,1,5,2,7,8
265,Ideas,2023-24,6.82,All UG,2,0,0,2,0,2,12.4
266,IDeaS,2022-23,8,CS & IT (UG),2,0,2,1,3,4,10.17
