unique_id,year,Company_name,cgpa_criteria,deg_criteria,branch_criteria,ce_shift1,ce_shift2,entc_shift1,entc_shift2,it,Male,Female,Total,sal_lpa
121,2020 -21,Sell.do,6.82,UG,CE & IT (UG),2,1,NA,NA,0,2,1,3,7.87
122,2020 -21,Sell.do,6.82,UG & PG,All (UG and PG),0,0,0,0,0,0,0,0,4
123,2020 -21,Siemens,7.95,UG & PG,All (UG and PG),5,0,0,0,2,7,0,7,9
124,2020 -21,Sophos,6.82,UG,All (UG),3,0,1,1,3,6,2,8,6.3
125,2020 -21,Swasthya AI,6.82,UG,All (UG),0,0,0,0,0,0,0,0,6
126,2020 -21,Symbl.ai,6.82,UG,All (UG),0,0,0,1,0,1,0,1,12
127,2020 -21,Talentio,5.68,UG & PG,All (UG and PG),0,0,0,0,0,0,0,0,3
128,2020 -21,TCS Digital,7.95,UG & PG,All (UG and PG),11,1,10,2,5,21,8,29,7
129,2020 -21,TCS Ninja,7.95,UG & PG,All (UG and PG),1,0,3,2,1,3,4,7,3.36
130,2020 -21,TechVerito,7.38,UG,CE & IT (UG),0,0,NA,NA,0,0,0,0,6
131,2020 -21,TIBCO,6.82,UG,CE & IT (UG),0,1,NA,NA,1,1,1,2,7
132,2020 -21,Tracelink,7,UG,CE & IT (UG),4,1,NA,NA,0,4,1,5,9
133,2020 -21,Trilogy Innovations,NC,UG,All (UG),0,0,0,0,0,0,0,0,31
134,2020 -21,UBS,7.95,UG,All (UG),2,1,0,0,0,2,1,3,10
135,2020 -21,UBS,PPO,UG,All (UG),2,0,0,0,1,3,0,3,10
136,2020 -21,udChalo,6.5,UG,All (UG),2,0,0,0,2,4,0,4,6.35
137,2020 -21,Unschool,NC,UG & PG,All (UG and PG),0,0,0,0,0,0,0,0,5
138,2020 -21,Uolo.com,6.82,UG,CE & IT (UG),0,0,NA,NA,0,0,0,0,12
139,2020 -21,Valuence Holdings,NC,UG & PG,All (UG and PG),2,0,0,0,0,1,1,2,21.22
140,2020 -21,Veritas Technologies,6.82,UG,CE & IT (UG),1,0,NA,NA,1,1,1,2,11.34
141,2020 -21,Vertical Fox,6.82,UG,CE & IT (UG),1,0,NA,NA,1,2,0,2,6
142,2020 -21,Vodafone,6.82,UG,All (UG),0,0,6,2,2,6,4,10,4.25
143,2020 -21,Wednesday Solutions,NC,UG & PG,CE & IT (UG and PG),1,0,NA,NA,2,3,0,3,6
144,2020 -21,Winjit Technologies,6.82,UG,CE & IT (UG),0,0,NA,NA,1,0,1,1,4.5
145,2020 -21,Yardi,6.59,UG,All (UG),4,3,9,2,7,10,15,25,4.5
146,2020 -21,Zocdoc,6.82,UG,All (UG),0,0,1,0,0,1,0,1,4.8
147,2020 -21,ZS Associates,6.5,UG,All (UG),9,5,5,1,4,16,8,24,8.93
148,2020 -21,ZS Associates,PPO,UG,All (UG),0,1,2,0,2,2,3,5,8.93
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
