ID,Table Names,unique_id,Company_name,year,cgpa_criteria,branch_criteria,ce,ce_shift1,ce_shift2,entc,entc_shift1,entc_shift2,it,Male,Female,Total,sal_lpa
86,Placement-Report_modified_2019-20.csv,83,Amura,2019-20,8.5,All(UG),0,0,0,0,0,0,1,1,0,1,10.5
87,Placement-Report_modified_2019-20.csv,84,Amura,2019-20,7.38,All(UG),0,0,0,0,0,0,0,0,0,0,5
88,Placement-Report_modified_2019-20.csv,85,Imagination Tech.,2019-20,8,All(UG),0,0,0,0,0,0,0,0,0,0,8.5
89,Placement-Report_modified_2019-20.csv,86,Goldman Sachs,2019-20,7.5,All(UG),3,1,2,0,0,0,2,3,2,5,23
90,Placement-Report_modified_2019-20.csv,87,eQ Technologic,2019-20,6.25,All (UG),5,5,0,3,2,1,2,7,3,10,8.5
91,Placement-Report_modified_2019-20.csv,88,eQ Technologic,2019-20,6.25,All (UG),0,0,0,9,7,2,0,3,6,9,7.5
92,Placement-Report_modified_2019-20.csv,2,Deutsche Bank,2019-20,7.95,All (UG),7,5,2,0,0,0,5,9,3,12,14.3
93,Placement-Report_modified_2019-20.csv,90,Infogen Lab,2019-20,6.82,CE & IT (UG),1,1,0,0,0,0,1,2,0,2,5
94,Placement-Report_modified_2019-20.csv,91,Reflexis,2019-20,6,CE & IT (UG),3,3,0,0,0,0,0,2,1,3,6
95,Placement-Report_modified_2019-20.csv,92,Redpanda,2019-20,5.68,All(UG),2,2,0,0,0,0,0,2,0,2,5
96,Placement-Report_modified_2019-20.csv,93,Valuefy,2019-20,6.82,All(UG),0,0,0,0,0,0,0,0,0,0,6
97,Placement-Report_modified_2019-20.csv,94,Logicmonitor,2019-20,6.82,All(UG),1,1,0,0,0,0,0,1,0,1,7.7
98,Placement-Report_modified_2019-20.csv,95,Mobikasa,2019-20,6.82,All(UG),0,0,0,0,0,0,0,0,0,0,7
99,Placement-Report_modified_2019-20.csv,96,Credit Suisse,2019-20,6.82,CE & IT (UG),0,0,0,0,0,0,0,0,0,0,10.81
100,Placement-Report_modified_2019-20.csv,97,Relfor Lab,2019-20,NC,All (UG),0,0,0,0,0,0,0,0,0,0,5
