,,,,,Society for Computer Technology and Research’s,,,,,,,,,,,,
,,,,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,,,,,,,,,,,,,
,,,,,"S. No. 27, Dhankawadi, Pune Satara Road, Pune- 411043",,,,,,,,,,,,
,,,,,PLACEMENT REPORT (2020-21),,,,,,,,,,,,
,,,,,,Students Placement (Company Wise),,,,,,,,,,,
,,,,,,UG,,,,PG,,,,,,,
,,,,,,,,,,,,,Total,,,,Total Salary
Sr. No.,Company,Criteria (CGPA & Branches),,BE CE,,BE E&TC,,,,ME,,,,,Sal. LPA,Visit Date,
,,,,,,,,BE,IT,ME,CE,ME,IT,,,,LPA
,,,,Shift 1,Shift 2,Shift 1,Shift 2,,,E&TC,,M,F,T,,,
,,,Group I: Niche Companies (Salary above 5.0 LPA),,,,,,,,,,,,,,
Accenture,,Acquia,9,ZS Associates,5,29
Accenture,,ADP,1,Rakuten,0,#N/A
Accenture,,Agiliad,12,Icertis,6,6
Accenture,,AlefEdge,7,Espressif Systems,3,3
Accenture,,Aligned Automation,2,Avaya,5,5
Accenture,,Altizon Inc.,3,FinIQ,1,8
Accenture,,Amdocs,30,FinIQ,7,8
Accenture,,Amura,2,Mastercard,14,14
Accenture,,Apisero,12,ION Group,5,5
Accenture,,Arista,2,PubMatic,1,1
Accenture,,Atos,6,UBS,3,6
Accenture,,Avaya,5,UBS,3,6
Accenture,,Barclays,34,Veritas Technologies,2,2
Accenture,,BizAmica,2,Deqode,2,2
Accenture,,Buddi.AI,2,Barclays,33,34
Accenture,,CakeSoft,9,Barclays,1,34
Accenture,,Capgemini,6,Persistent,4,19
Accenture,,Cloudwerx,2,Persistent,1,19
Accenture,,CLSA,1,L & T Infotech,1,31
