"Society for Computer Technology and Research’s
PUNE INSTITUTE OF COMPUTER TECHNOLOGY
S.No. 27,Dhankawadi, Pune Satara Road, Pune 411043.
PLACEMENT REPORT (AY: 2019-20)",,,,,,,,,,,,,,,,,,
Students Placement (Companywise),,,,,,,,,,,,,,,,,,
SrNo,Company,"Criteria ( CGPA &
Branches)",,UG,,,,,PG,,,Total,,,Sal. LPA,Visit Date,"Total
Salary
LPA",
,,,,BE CE,,BE E&TC,,BE IT,ME CE,ME E&TC,ME IT,,,,,,,
,,,,,,,,,,,,M,F,T,,,,
Group I: Niche Companies (Salary above 5.0 LPA),,,,,,,,,,,,,,,,,,
Group II: Variant Recruiters (Salary below 5.0 LPA),,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,TCS Ninja,,,,,6.82,,All (UG and PG),1,0,1,0,,0,,0,0,0,0,2,2,,3.5,,14/08/19,,7,
94,Persistent,,,,,6.82,,CE & IT (UG),1,1,NA,NA,,1,,NA,NA,NA,1,2,3,,4.41,,29/08/19,,13.23,
95,Capgemini,,,,,6.82,,All (UG and PG),3,0,10,2,,1,,0,0,1,12,5,17,,3.8,,26/09/19,,64.6,
96,Xorient,,,,,6.82,,CE & IT (UG),0,0,0,0,,0,,NA,NA,NA,0,0,0,,4.5,,09/09/19,,0,
97,Vodafone,,,,,6.82,,All UG,0,0,8,3,,1,,NA,NA,NA,7,5,12,,4.25,,15/10/19,,51,
98,BirlaSoft,,,,,6.82,,All(UG),0,0,2,0,,0,,NA,NA,NA,2,0,2,,3.25,,16/10/19,,6.5,
99,Paragyte,,,,,6.82,,All(UG),0,0,0,0,,0,,NA,NA,NA,0,0,0,,4,,12/11/19,,0,
100,eInfochip,,,,,6.82,,All(UG),0,0,3,0,,0,,NA,NA,NA,0,3,3,,3.6,,15/11/19,,10.8,
101,e-Zest,,,,,6.82,,All(UG),0,0,1,0,,1,,NA,NA,NA,0,2,2,,4,,25/11/19,,8,
102,Xpanxion,,,,,6.82,,All(UG),0,0,2,0,,0,,NA,NA,NA,1,1,2,,4.5,,18/12/19,,9,
103,IBM,,,,,6.82,,All(UG),0,0,2,1,,0,,NA,NA,NA,0,3,3,,4.1,,15/12/19,,12.3,
104,Cognizant,,,,,6.82,,All(UG),0,0,3,0,,0,,NA,NA,NA,0,3,3,,4,,16/12/19,,12,
105,Crane process flow,,,,,6.5,,E&TC (UG),NA,NA,0,1,,NA,,NA,NA,NA,0,1,1,,4.6,,10/01/20,,4.6,
106,Eternus Solutions,,,,,6.82,,All(UG),1,0,1,0,,0,,NA,NA,NA,1,1,2,,4.25,,16/01/20,,8.5,
