,,,,,,Society for Computer Technology and Research’s,,,,,,,,,,,
,,,,,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,,,,,,,,,,,,
,,,,,,"S. No. 27, Dhankawadi, Pune Satara Road, Pune- 411043",,,,,,,,,,,
,,,,,,PLACEMENT REPORT (2021-22),,,,,,,,,,,
,,,,,,,Students Placement (Company Wise),,,,,,,,,,
,,,,,,UG,,,,PG,,,,,,,
,,,,,,,,,,,,,Total,,,,
Sr. No.,Company,Criteria (CGPA & Branches),,BE CE,,BE E&TC,,,,,,,,,Sal. LPA,Visit Date,Total Salary LPA
,,,,,,,,BE IT,ME CE,ME E&TC,ME IT,,,,,,
,,,,Shift 1,Shift 2,Shift 1,Shift 2,,,,,M,F,T,,,
,,,,,Group I: Niche Companies (Salary above 5.0 LPA),,,,,,,,,,,,
83. b,Amazon,6.5,All (UG),6,0,1,0,4,NA,NA,NA,9,2,11,44.14,01-07-22,485.54
83.c,Amazon,6.5,All (UG),0,0,0,0,1,NA,NA,NA,0,1,1,30.18,01-07-22,30.18
84,Rocket Software,NC,All(UG),0,1,1,0,0,NA,NA,NA,2,0,2,10.5,01-07-22,21
85,LogiQuad,7.38,All(UG),0,1,1,0,0,NA,NA,NA,2,0,2,7.5,06-07-22,15
86,T Systems,,All(UG),0,1,0,0,1,NA,NA,NA,1,1,2,7.5,07-07-22,15
87,Tripstack,,All(UG),0,0,1,0,0,NA,NA,NA,0,1,1,5.5,01-06-22,5.5
88,Finvu,,All(UG),0,0,1,1,0,NA,NA,NA,2,0,2,7.5,05-08-22,15
89,Cumulus,,All(UG),2,0,1,1,0,NA,NA,NA,2,2,4,8.53,08-08-22,34.12
,Group I Total,,,189,54,159,54,184,0,0,0,440,202,642,Avg. Salary,,11.42
,,,,Group II: Variant Recruiters (Salary below 5.0 LPA),,,,,,,,,,,,,
90,Persistent,6.82,E&TC (UG),NA,NA,4,0,NA,NA,NA,NA,2,2,4,4.71,24-08-21,18.84
91,Cognizant,6.82,All (UG and PG),0,0,1,2,0,2,0,0,4,1,5,4,04-09-21,20
92,Accenture,NC,All (UG and PG),0,0,5,1,1,0,0,0,2,5,7,4.5,20-09-21,31.5
93,TCS Ninja,6.82,All (UG and PG),0,0,1,0,0,0,0,0,0,1,1,3.36,23-07-21,3.36
94,Capgemini,NC,All (UG),0,0,1,0,0,NA,NA,NA,1,0,1,4,07-09-21,4
95,Atos,6.82,All (UG),0,0,0,2,0,NA,NA,NA,0,2,2,3.1,22-11-21,6.2
96,i3Systems,NC,All (UG),0,0,1,0,1,NA,NA,NA,1,1,2,4.5,27-11-21,9
97,Vodafone,6.82,All (UG),1,0,0,1,0,NA,NA,NA,1,1,2,4.25,01-12-21,8.5
98,Sell.do,6.82,All(UG),0,0,1,0,0,NA,NA,NA,1,0,1,3.85,9/2/2022,3.85
99,Mindtree,6.82,All(UG),0,0,1,0,0,NA,NA,NA,1,0,1,4.5,16/02/22,4.5
100,Reliance,6.82,All(UG),0,0,0,0,0,NA,NA,NA,0,0,0,4.25,3/10/2022,0
101,ITC Infotech,6.82,All(UG),1,0,1,1,0,NA,NA,NA,2,1,3,4.5,3/29/2022,13.5
102,Productdossier,,All(UG),0,0,1,0,0,NA,NA,NA,1,0,1,3,1/29/2022,3
,Group II Total,,,2,0,17,7,2,2,0,0,16,14,30,Avg. Salary,,4.21
,Total count of Students Placed,,,191,54,176,61,186,2,0,0,456,216,672,,,
,NA: Not Applicable,NC: No Criteria,,,,,,,,,,,,OverAll Avg. Sal.,,,11.09
,Dr. Satish Narkhede,,,,,Dr. Sanjay Gandhe,,,,,,,,Dr. Prahlad Kulkarni,,,
,Training & Placement Officer,,,,,,Principal,,,,,,,,Director,,
,P:F-TRPL/03/R0,,,,,,,,,,,,,,,,
